,0
0,angry
1,angry
2,angry
3,angry
4,angry
5,angry
6,angry
7,angry
8,angry
9,angry
10,angry
11,angry
12,angry
13,angry
14,angry
15,disgust
16,disgust
17,disgust
18,disgust
19,disgust
20,disgust
21,disgust
22,disgust
23,disgust
24,disgust
25,disgust
26,disgust
27,disgust
28,disgust
29,disgust
30,fear
31,fear
32,fear
33,fear
34,fear
35,fear
36,fear
37,fear
38,fear
39,fear
40,fear
41,fear
42,fear
43,fear
44,fear
45,happiness
46,happiness
47,happiness
48,happiness
49,happiness
50,happiness
51,happiness
52,happiness
53,happiness
54,happiness
55,happiness
56,happiness
57,happiness
58,happiness
59,happiness
60,neutral
61,neutral
62,neutral
63,neutral
64,neutral
65,neutral
66,neutral
67,neutral
68,neutral
69,neutral
70,neutral
71,neutral
72,neutral
73,neutral
74,neutral
75,neutral
76,neutral
77,neutral
78,neutral
79,neutral
80,neutral
81,neutral
82,neutral
83,neutral
84,neutral
85,neutral
86,neutral
87,neutral
88,neutral
89,neutral
90,sadness
91,sadness
92,sadness
93,sadness
94,sadness
95,sadness
96,sadness
97,sadness
98,sadness
99,sadness
100,sadness
101,sadness
102,sadness
103,sadness
104,sadness
105,surprised
106,surprised
107,surprised
108,surprised
109,surprised
110,surprised
111,surprised
112,surprised
113,surprised
114,surprised
115,surprised
116,surprised
117,surprised
118,surprised
119,surprised
120,angry
121,angry
122,angry
123,angry
124,angry
125,angry
126,angry
127,angry
128,angry
129,angry
130,angry
131,angry
132,angry
133,angry
134,angry
135,disgust
136,disgust
137,disgust
138,disgust
139,disgust
140,disgust
141,disgust
142,disgust
143,disgust
144,disgust
145,disgust
146,disgust
147,disgust
148,disgust
149,disgust
150,fear
151,fear
152,fear
153,fear
154,fear
155,fear
156,fear
157,fear
158,fear
159,fear
160,fear
161,fear
162,fear
163,fear
164,fear
165,happiness
166,happiness
167,happiness
168,happiness
169,happiness
170,happiness
171,happiness
172,happiness
173,happiness
174,happiness
175,happiness
176,happiness
177,happiness
178,happiness
179,happiness
180,neutral
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,neutral
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,neutral
197,neutral
198,neutral
199,neutral
200,neutral
201,neutral
202,neutral
203,neutral
204,neutral
205,neutral
206,neutral
207,neutral
208,neutral
209,neutral
210,sadness
211,sadness
212,sadness
213,sadness
214,sadness
215,sadness
216,sadness
217,sadness
218,sadness
219,sadness
220,sadness
221,sadness
222,sadness
223,sadness
224,sadness
225,surprised
226,surprised
227,surprised
228,surprised
229,surprised
230,surprised
231,surprised
232,surprised
233,surprised
234,surprised
235,surprised
236,surprised
237,surprised
238,surprised
239,surprised
240,angry
241,angry
242,angry
243,angry
244,angry
245,angry
246,angry
247,angry
248,angry
249,angry
250,angry
251,angry
252,angry
253,angry
254,angry
255,disgust
256,disgust
257,disgust
258,disgust
259,disgust
260,disgust
261,disgust
262,disgust
263,disgust
264,disgust
265,disgust
266,disgust
267,disgust
268,disgust
269,disgust
270,fear
271,fear
272,fear
273,fear
274,fear
275,fear
276,fear
277,fear
278,fear
279,fear
280,fear
281,fear
282,fear
283,fear
284,fear
285,happiness
286,happiness
287,happiness
288,happiness
289,happiness
290,happiness
291,happiness
292,happiness
293,happiness
294,happiness
295,happiness
296,happiness
297,happiness
298,happiness
299,happiness
300,neutral
301,neutral
302,neutral
303,neutral
304,neutral
305,neutral
306,neutral
307,neutral
308,neutral
309,neutral
310,neutral
311,neutral
312,neutral
313,neutral
314,neutral
315,neutral
316,neutral
317,neutral
318,neutral
319,neutral
320,neutral
321,neutral
322,neutral
323,neutral
324,neutral
325,neutral
326,neutral
327,neutral
328,neutral
329,neutral
330,sadness
331,sadness
332,sadness
333,sadness
334,sadness
335,sadness
336,sadness
337,sadness
338,sadness
339,sadness
340,sadness
341,sadness
342,sadness
343,sadness
344,sadness
345,surprised
346,surprised
347,surprised
348,surprised
349,surprised
350,surprised
351,surprised
352,surprised
353,surprised
354,surprised
355,surprised
356,surprised
357,surprised
358,surprised
359,surprised
360,angry
361,angry
362,angry
363,angry
364,angry
365,angry
366,angry
367,angry
368,angry
369,angry
370,angry
371,angry
372,angry
373,angry
374,angry
375,disgust
376,disgust
377,disgust
378,disgust
379,disgust
380,disgust
381,disgust
382,disgust
383,disgust
384,disgust
385,disgust
386,disgust
387,disgust
388,disgust
389,disgust
390,fear
391,fear
392,fear
393,fear
394,fear
395,fear
396,fear
397,fear
398,fear
399,fear
400,fear
401,fear
402,fear
403,fear
404,fear
405,happiness
406,happiness
407,happiness
408,happiness
409,happiness
410,happiness
411,happiness
412,happiness
413,happiness
414,happiness
415,happiness
416,happiness
417,happiness
418,happiness
419,happiness
420,neutral
421,neutral
422,neutral
423,neutral
424,neutral
425,neutral
426,neutral
427,neutral
428,neutral
429,neutral
430,neutral
431,neutral
432,neutral
433,neutral
434,neutral
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,neutral
442,neutral
443,neutral
444,neutral
445,neutral
446,neutral
447,neutral
448,neutral
449,neutral
450,sadness
451,sadness
452,sadness
453,sadness
454,sadness
455,sadness
456,sadness
457,sadness
458,sadness
459,sadness
460,sadness
461,sadness
462,sadness
463,sadness
464,sadness
465,surprised
466,surprised
467,surprised
468,surprised
469,surprised
470,surprised
471,surprised
472,surprised
473,surprised
474,surprised
475,surprised
476,surprised
477,surprised
478,surprised
479,surprised
480,angry
481,angry
482,angry
483,angry
484,angry
485,angry
486,angry
487,angry
488,angry
489,angry
490,angry
491,angry
492,angry
493,angry
494,angry
495,angry
496,angry
497,angry
498,angry
499,angry
500,angry
501,angry
502,angry
503,angry
504,angry
505,angry
506,angry
507,angry
508,angry
509,angry
510,angry
511,angry
512,angry
513,angry
514,angry
515,angry
516,angry
517,angry
518,angry
519,angry
520,angry
521,angry
522,angry
523,angry
524,angry
525,angry
526,angry
527,angry
528,angry
529,angry
530,angry
531,angry
532,angry
533,angry
534,angry
535,angry
536,angry
537,angry
538,angry
539,angry
540,disgust
541,disgust
542,disgust
543,disgust
544,disgust
545,disgust
546,disgust
547,disgust
548,disgust
549,disgust
550,disgust
551,disgust
552,disgust
553,disgust
554,disgust
555,disgust
556,disgust
557,disgust
558,disgust
559,disgust
560,disgust
561,disgust
562,disgust
563,disgust
564,disgust
565,disgust
566,disgust
567,disgust
568,disgust
569,disgust
570,disgust
571,disgust
572,disgust
573,disgust
574,disgust
575,disgust
576,disgust
577,disgust
578,disgust
579,disgust
580,disgust
581,disgust
582,disgust
583,disgust
584,disgust
585,disgust
586,disgust
587,disgust
588,disgust
589,disgust
590,disgust
591,disgust
592,disgust
593,disgust
594,disgust
595,disgust
596,disgust
597,disgust
598,disgust
599,disgust
600,fear
601,fear
602,fear
603,fear
604,fear
605,fear
606,fear
607,fear
608,fear
609,fear
610,fear
611,fear
612,fear
613,fear
614,fear
615,fear
616,fear
617,fear
618,fear
619,fear
620,fear
621,fear
622,fear
623,fear
624,fear
625,fear
626,fear
627,fear
628,fear
629,fear
630,fear
631,fear
632,fear
633,fear
634,fear
635,fear
636,fear
637,fear
638,fear
639,fear
640,fear
641,fear
642,fear
643,fear
644,fear
645,fear
646,fear
647,fear
648,fear
649,fear
650,fear
651,fear
652,fear
653,fear
654,fear
655,fear
656,fear
657,fear
658,fear
659,fear
660,happiness
661,happiness
662,happiness
663,happiness
664,happiness
665,happiness
666,happiness
667,happiness
668,happiness
669,happiness
670,happiness
671,happiness
672,happiness
673,happiness
674,happiness
675,happiness
676,happiness
677,happiness
678,happiness
679,happiness
680,happiness
681,happiness
682,happiness
683,happiness
684,happiness
685,happiness
686,happiness
687,happiness
688,happiness
689,happiness
690,happiness
691,happiness
692,happiness
693,happiness
694,happiness
695,happiness
696,happiness
697,happiness
698,happiness
699,happiness
700,happiness
701,happiness
702,happiness
703,happiness
704,happiness
705,happiness
706,happiness
707,happiness
708,happiness
709,happiness
710,happiness
711,happiness
712,happiness
713,happiness
714,happiness
715,happiness
716,happiness
717,happiness
718,happiness
719,happiness
720,sadness
721,sadness
722,sadness
723,sadness
724,sadness
725,sadness
726,sadness
727,sadness
728,sadness
729,sadness
730,sadness
731,sadness
732,sadness
733,sadness
734,sadness
735,sadness
736,sadness
737,sadness
738,sadness
739,sadness
740,sadness
741,sadness
742,sadness
743,sadness
744,sadness
745,sadness
746,sadness
747,sadness
748,sadness
749,sadness
750,sadness
751,sadness
752,sadness
753,sadness
754,sadness
755,sadness
756,sadness
757,sadness
758,sadness
759,sadness
760,sadness
761,sadness
762,sadness
763,sadness
764,sadness
765,sadness
766,sadness
767,sadness
768,sadness
769,sadness
770,sadness
771,sadness
772,sadness
773,sadness
774,sadness
775,sadness
776,sadness
777,sadness
778,sadness
779,sadness
780,surprised
781,surprised
782,surprised
783,surprised
784,surprised
785,surprised
786,surprised
787,surprised
788,surprised
789,surprised
790,surprised
791,surprised
792,surprised
793,surprised
794,surprised
795,surprised
796,surprised
797,surprised
798,surprised
799,surprised
