,0
0,angry
1,angry
2,angry
3,angry
4,angry
5,angry
6,angry
7,angry
8,angry
9,angry
10,angry
11,angry
12,angry
13,angry
14,angry
15,angry
16,angry
17,angry
18,angry
19,angry
20,angry
21,angry
22,angry
23,angry
24,angry
25,angry
26,angry
27,angry
28,angry
29,angry
30,angry
31,angry
32,angry
33,angry
34,angry
35,angry
36,angry
37,angry
38,angry
39,angry
40,angry
41,angry
42,angry
43,angry
44,angry
45,angry
46,angry
47,angry
48,angry
49,angry
50,angry
51,angry
52,angry
53,angry
54,angry
55,angry
56,angry
57,angry
58,angry
59,angry
60,angry
61,angry
62,angry
63,angry
64,angry
65,angry
66,angry
67,angry
68,angry
69,angry
70,angry
71,angry
72,angry
73,angry
74,angry
75,angry
76,angry
77,angry
78,angry
79,angry
80,angry
81,angry
82,angry
83,angry
84,angry
85,angry
86,angry
87,angry
88,angry
89,angry
90,angry
91,angry
92,angry
93,angry
94,angry
95,angry
96,angry
97,angry
98,angry
99,angry
100,happiness
101,happiness
102,happiness
103,happiness
104,happiness
105,happiness
106,happiness
107,happiness
108,happiness
109,happiness
110,happiness
111,happiness
112,happiness
113,happiness
114,happiness
115,happiness
116,happiness
117,happiness
118,happiness
119,happiness
120,happiness
121,happiness
122,happiness
123,happiness
124,happiness
125,happiness
126,happiness
127,happiness
128,happiness
129,happiness
130,happiness
131,happiness
132,happiness
133,happiness
134,happiness
135,happiness
136,happiness
137,happiness
138,happiness
139,happiness
140,happiness
141,happiness
142,happiness
143,happiness
144,happiness
145,happiness
146,happiness
147,happiness
148,happiness
149,happiness
150,happiness
151,happiness
152,happiness
153,happiness
154,happiness
155,happiness
156,happiness
157,happiness
158,happiness
159,happiness
160,happiness
161,happiness
162,happiness
163,happiness
164,happiness
165,happiness
166,happiness
167,happiness
168,happiness
169,happiness
170,happiness
171,happiness
172,happiness
173,happiness
174,happiness
175,happiness
176,happiness
177,happiness
178,happiness
179,happiness
180,happiness
181,happiness
182,happiness
183,happiness
184,happiness
185,happiness
186,happiness
187,happiness
188,happiness
189,happiness
190,happiness
191,happiness
192,happiness
193,happiness
194,happiness
195,happiness
196,happiness
197,happiness
198,happiness
199,happiness
200,neutral
201,neutral
202,neutral
203,neutral
204,neutral
205,neutral
206,neutral
207,neutral
208,neutral
209,neutral
210,neutral
211,neutral
212,neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,neutral
220,neutral
221,neutral
222,neutral
223,neutral
224,neutral
225,neutral
226,neutral
227,neutral
228,neutral
229,neutral
230,neutral
231,neutral
232,neutral
233,neutral
234,neutral
235,neutral
236,neutral
237,neutral
238,neutral
239,neutral
240,neutral
241,neutral
242,neutral
243,neutral
244,neutral
245,neutral
246,neutral
247,neutral
248,neutral
249,neutral
250,neutral
251,neutral
252,neutral
253,neutral
254,neutral
255,neutral
256,neutral
257,neutral
258,neutral
259,neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,neutral
265,neutral
266,neutral
267,neutral
268,neutral
269,neutral
270,neutral
271,neutral
272,neutral
273,neutral
274,neutral
275,neutral
276,neutral
277,neutral
278,neutral
279,neutral
280,neutral
281,neutral
282,neutral
283,neutral
284,neutral
285,neutral
286,neutral
287,neutral
288,neutral
289,neutral
290,neutral
291,neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,neutral
297,neutral
298,neutral
299,neutral
300,sadness
301,sadness
302,sadness
303,sadness
304,sadness
305,sadness
306,sadness
307,sadness
308,sadness
309,sadness
310,sadness
311,sadness
312,sadness
313,sadness
314,sadness
315,sadness
316,sadness
317,sadness
318,sadness
319,sadness
320,sadness
321,sadness
322,sadness
323,sadness
324,sadness
325,sadness
326,sadness
327,sadness
328,sadness
329,sadness
330,sadness
331,sadness
332,sadness
333,sadness
334,sadness
335,sadness
336,sadness
337,sadness
338,sadness
339,sadness
340,sadness
341,sadness
342,sadness
343,sadness
344,sadness
345,sadness
346,sadness
347,sadness
348,sadness
349,sadness
350,sadness
351,sadness
352,sadness
353,sadness
354,sadness
355,sadness
356,sadness
357,sadness
358,sadness
359,sadness
360,sadness
361,sadness
362,sadness
363,sadness
364,sadness
365,sadness
366,sadness
367,sadness
368,sadness
369,sadness
370,sadness
371,sadness
372,sadness
373,sadness
374,sadness
375,sadness
376,sadness
377,sadness
378,sadness
379,sadness
380,sadness
381,sadness
382,sadness
383,sadness
384,sadness
385,sadness
386,sadness
387,sadness
388,sadness
389,sadness
390,sadness
391,sadness
392,sadness
393,sadness
394,sadness
395,sadness
396,sadness
397,sadness
398,sadness
399,sadness
