,0
0,disgust
1,disgust
2,disgust
3,disgust
4,disgust
5,disgust
6,disgust
7,disgust
8,disgust
9,disgust
10,disgust
11,disgust
12,disgust
13,disgust
14,happiness
15,happiness
16,happiness
17,happiness
18,happiness
19,happiness
20,happiness
21,happiness
22,happiness
23,happiness
24,happiness
25,happiness
26,happiness
27,happiness
28,neutral
29,neutral
30,neutral
31,neutral
32,neutral
33,neutral
34,neutral
35,neutral
36,neutral
37,neutral
38,neutral
39,neutral
40,neutral
41,neutral
42,fear
43,fear
44,fear
45,fear
46,fear
47,fear
48,fear
49,fear
50,fear
51,fear
52,fear
53,fear
54,fear
55,fear
56,angry
57,angry
58,angry
59,angry
60,angry
61,angry
62,angry
63,angry
64,angry
65,angry
66,angry
67,angry
68,angry
69,angry
70,surprise
71,surprise
72,surprise
73,surprise
74,surprise
75,surprise
76,surprise
77,surprise
78,surprise
79,surprise
80,surprise
81,surprise
82,surprise
83,surprise
84,sadness
85,sadness
86,sadness
87,sadness
88,sadness
89,sadness
90,sadness
91,sadness
92,sadness
93,sadness
94,sadness
95,sadness
96,sadness
97,sadness
98,disgust
99,disgust
100,disgust
101,disgust
102,disgust
103,disgust
104,disgust
105,disgust
106,disgust
107,disgust
108,disgust
109,disgust
110,disgust
111,disgust
112,happiness
113,happiness
114,happiness
115,happiness
116,happiness
117,happiness
118,happiness
119,happiness
120,happiness
121,happiness
122,happiness
123,happiness
124,happiness
125,happiness
126,neutral
127,neutral
128,neutral
129,neutral
130,neutral
131,neutral
132,neutral
133,neutral
134,neutral
135,neutral
136,neutral
137,neutral
138,neutral
139,neutral
140,fear
141,fear
142,fear
143,fear
144,fear
145,fear
146,fear
147,fear
148,fear
149,fear
150,fear
151,fear
152,fear
153,fear
154,angry
155,angry
156,angry
157,angry
158,angry
159,angry
160,angry
161,angry
162,angry
163,angry
164,angry
165,angry
166,angry
167,angry
168,surprise
169,surprise
170,surprise
171,surprise
172,surprise
173,surprise
174,surprise
175,surprise
176,surprise
177,surprise
178,surprise
179,surprise
180,surprise
181,surprise
182,sadness
183,sadness
184,sadness
185,sadness
186,sadness
187,sadness
188,sadness
189,sadness
190,sadness
191,sadness
192,sadness
193,sadness
194,sadness
195,sadness
196,disgust
197,disgust
198,disgust
199,disgust
200,disgust
201,disgust
202,disgust
203,disgust
204,disgust
205,disgust
206,disgust
207,disgust
208,disgust
209,disgust
210,happiness
211,happiness
212,happiness
213,happiness
214,happiness
215,happiness
216,happiness
217,happiness
218,happiness
219,happiness
220,happiness
221,happiness
222,happiness
223,happiness
224,neutral
225,neutral
226,neutral
227,neutral
228,neutral
229,neutral
230,neutral
231,neutral
232,neutral
233,neutral
234,neutral
235,neutral
236,neutral
237,neutral
238,fear
239,fear
240,fear
241,fear
242,fear
243,fear
244,fear
245,fear
246,fear
247,fear
248,fear
249,fear
250,fear
251,fear
252,angry
253,angry
254,angry
255,angry
256,angry
257,angry
258,angry
259,angry
260,angry
261,angry
262,angry
263,angry
264,angry
265,angry
266,surprise
267,surprise
268,surprise
269,surprise
270,surprise
271,surprise
272,surprise
273,surprise
274,surprise
275,surprise
276,surprise
277,surprise
278,surprise
279,surprise
280,sadness
281,sadness
282,sadness
283,sadness
284,sadness
285,sadness
286,sadness
287,sadness
288,sadness
289,sadness
290,sadness
291,sadness
292,sadness
293,sadness
294,disgust
295,disgust
296,disgust
297,disgust
298,disgust
299,disgust
300,disgust
301,disgust
302,disgust
303,disgust
304,disgust
305,disgust
306,disgust
307,disgust
308,happiness
309,happiness
310,happiness
311,happiness
312,happiness
313,happiness
314,happiness
315,happiness
316,happiness
317,happiness
318,happiness
319,happiness
320,happiness
321,happiness
322,neutral
323,neutral
324,neutral
325,neutral
326,neutral
327,neutral
328,neutral
329,neutral
330,neutral
331,neutral
332,neutral
333,neutral
334,neutral
335,neutral
336,fear
337,fear
338,fear
339,fear
340,fear
341,fear
342,fear
343,fear
344,fear
345,fear
346,fear
347,fear
348,fear
349,fear
350,angry
351,angry
352,angry
353,angry
354,angry
355,angry
356,angry
357,angry
358,angry
359,angry
360,angry
361,angry
362,angry
363,angry
364,surprise
365,surprise
366,surprise
367,surprise
368,surprise
369,surprise
370,surprise
371,surprise
372,surprise
373,surprise
374,surprise
375,surprise
376,surprise
377,surprise
378,sadness
379,sadness
380,sadness
381,sadness
382,sadness
383,sadness
384,sadness
385,sadness
386,sadness
387,sadness
388,sadness
389,sadness
390,sadness
391,sadness
392,disgust
393,disgust
394,disgust
395,disgust
396,disgust
397,disgust
398,disgust
399,disgust
400,disgust
401,disgust
402,disgust
403,disgust
404,disgust
405,disgust
406,happiness
407,happiness
408,happiness
409,happiness
410,happiness
411,happiness
412,happiness
413,happiness
414,happiness
415,happiness
416,happiness
417,happiness
418,happiness
419,happiness
420,neutral
421,neutral
422,neutral
423,neutral
424,neutral
425,neutral
426,neutral
427,neutral
428,neutral
429,neutral
430,neutral
431,neutral
432,neutral
433,neutral
434,fear
435,fear
436,fear
437,fear
438,fear
439,fear
440,fear
441,fear
442,fear
443,fear
444,fear
445,fear
446,fear
447,fear
448,angry
449,angry
450,angry
451,angry
452,angry
453,angry
454,angry
455,angry
456,angry
457,angry
458,angry
459,angry
460,angry
461,angry
462,surprise
463,surprise
464,surprise
465,surprise
466,surprise
467,surprise
468,surprise
469,surprise
470,surprise
471,surprise
472,surprise
473,surprise
474,surprise
475,surprise
476,sadness
477,sadness
478,sadness
479,sadness
480,sadness
481,sadness
482,sadness
483,sadness
484,sadness
485,sadness
486,sadness
487,sadness
488,sadness
489,sadness
490,disgust
491,disgust
492,disgust
493,disgust
494,disgust
495,disgust
496,disgust
497,disgust
498,disgust
499,disgust
500,disgust
501,disgust
502,disgust
503,disgust
504,happiness
505,happiness
506,happiness
507,happiness
508,happiness
509,happiness
510,happiness
511,happiness
512,happiness
513,happiness
514,happiness
515,happiness
516,happiness
517,happiness
518,neutral
519,neutral
520,neutral
521,neutral
522,neutral
523,neutral
524,neutral
525,neutral
526,neutral
527,neutral
528,neutral
529,neutral
530,neutral
531,neutral
532,fear
533,fear
534,fear
535,fear
536,fear
537,fear
538,fear
539,fear
540,fear
541,fear
542,fear
543,fear
544,fear
545,fear
546,angry
547,angry
548,angry
549,angry
550,angry
551,angry
552,angry
553,angry
554,angry
555,angry
556,angry
557,angry
558,angry
559,angry
560,surprise
561,surprise
562,surprise
563,surprise
564,surprise
565,surprise
566,surprise
567,surprise
568,surprise
569,surprise
570,surprise
571,surprise
572,surprise
573,surprise
574,sadness
575,sadness
576,sadness
577,sadness
578,sadness
579,sadness
580,sadness
581,sadness
582,sadness
583,sadness
584,sadness
585,sadness
586,sadness
587,sadness
