,0
0,fear
1,neutral
2,angry
3,fear
4,neutral
5,sadness
6,angry
7,angry
8,angry
9,fear
10,boredom
11,neutral
12,sadness
13,angry
14,angry
15,fear
16,neutral
17,sadness
18,angry
19,angry
20,fear
21,fear
22,boredom
23,neutral
24,angry
25,fear
26,boredom
27,neutral
28,sadness
29,angry
30,angry
31,angry
32,boredom
33,neutral
34,sadness
35,angry
36,neutral
37,sadness
38,angry
39,boredom
40,neutral
41,sadness
42,angry
43,angry
44,disgust
45,neutral
46,neutral
47,angry
48,angry
49,angry
50,fear
51,boredom
52,neutral
53,angry
54,angry
55,angry
56,angry
57,fear
58,boredom
59,neutral
60,sadness
61,angry
62,fear
63,boredom
64,neutral
65,sadness
66,angry
67,fear
68,boredom
69,neutral
70,sadness
71,angry
72,fear
73,boredom
74,neutral
75,sadness
76,sadness
77,angry
78,angry
79,fear
80,fear
81,boredom
82,neutral
83,angry
84,fear
85,boredom
86,neutral
87,sadness
88,angry
89,fear
90,boredom
91,neutral
92,sadness
93,angry
94,angry
95,fear
96,boredom
97,neutral
98,sadness
99,angry
100,angry
101,angry
102,fear
103,boredom
104,neutral
105,sadness
106,angry
107,disgust
108,fear
109,neutral
110,angry
111,disgust
112,disgust
113,boredom
114,angry
115,fear
116,boredom
117,neutral
118,angry
119,disgust
120,boredom
121,neutral
122,sadness
123,angry
124,angry
125,disgust
126,neutral
127,sadness
128,angry
129,angry
130,disgust
131,neutral
132,angry
133,neutral
134,sadness
135,angry
136,angry
137,disgust
138,fear
139,fear
140,boredom
141,neutral
142,sadness
143,angry
144,disgust
145,neutral
146,angry
147,angry
148,neutral
149,angry
150,angry
151,neutral
152,angry
153,angry
154,fear
155,boredom
156,neutral
157,angry
158,fear
159,neutral
160,angry
161,angry
162,angry
163,boredom
164,sadness
165,angry
166,angry
167,angry
168,boredom
169,sadness
170,angry
171,angry
172,disgust
173,fear
174,boredom
175,angry
176,boredom
177,neutral
178,angry
179,boredom
180,sadness
181,angry
182,angry
183,boredom
184,angry
185,fear
186,boredom
187,angry
188,angry
189,angry
190,boredom
191,neutral
192,angry
193,disgust
194,fear
195,boredom
196,neutral
197,sadness
198,angry
199,angry
200,fear
201,neutral
202,angry
203,angry
204,fear
205,fear
206,boredom
207,neutral
208,sadness
209,angry
210,angry
211,boredom
212,sadness
213,angry
214,angry
215,disgust
216,fear
217,boredom
218,neutral
219,angry
220,angry
221,fear
222,neutral
223,sadness
224,angry
225,fear
226,boredom
227,neutral
228,sadness
229,angry
230,angry
231,angry
232,fear
233,boredom
234,neutral
235,sadness
236,angry
237,angry
238,angry
239,boredom
240,neutral
241,sadness
242,angry
243,fear
244,boredom
245,neutral
246,angry
247,angry
248,disgust
249,neutral
250,angry
251,angry
252,angry
253,angry
254,boredom
255,neutral
256,sadness
257,angry
258,angry
259,boredom
260,angry
261,sadness
262,angry
263,angry
264,disgust
265,fear
266,neutral
267,angry
268,angry
269,angry
270,boredom
271,sadness
272,angry
273,sadness
274,angry
275,angry
276,boredom
277,angry
278,angry
279,disgust
280,disgust
281,fear
282,boredom
283,neutral
284,angry
285,angry
286,disgust
287,fear
288,boredom
289,neutral
290,sadness
291,angry
292,angry
293,fear
294,boredom
295,sadness
296,angry
297,angry
298,disgust
299,boredom
300,neutral
301,sadness
302,angry
303,angry
304,fear
305,boredom
306,neutral
307,sadness
308,angry
309,angry
310,disgust
311,fear
312,boredom
313,neutral
314,angry
315,fear
316,boredom
317,neutral
318,angry
319,angry
320,disgust
321,fear
322,boredom
323,neutral
324,sadness
325,angry
326,angry
327,disgust
328,fear
329,fear
330,boredom
331,neutral
332,angry
333,disgust
334,fear
335,boredom
336,neutral
337,angry
338,angry
339,angry
340,angry
341,disgust
342,neutral
343,angry
344,angry
345,angry
346,disgust
347,fear
348,boredom
349,neutral
350,sadness
351,angry
352,angry
353,angry
354,disgust
355,boredom
356,sadness
357,sadness
358,angry
359,angry
360,angry
361,angry
362,fear
363,fear
364,boredom
365,neutral
366,sadness
367,sadness
368,angry
369,angry
370,angry
371,disgust
372,fear
373,boredom
374,boredom
375,neutral
376,sadness
377,angry
378,angry
379,disgust
380,fear
381,fear
382,neutral
383,angry
384,angry
385,fear
386,neutral
387,sadness
388,angry
389,angry
390,angry
391,disgust
392,boredom
393,sadness
394,angry
395,angry
396,disgust
397,fear
398,boredom
399,sadness
400,angry
401,angry
402,angry
403,disgust
404,boredom
405,neutral
406,sadness
407,angry
408,disgust
409,fear
410,boredom
411,neutral
412,angry
413,angry
414,disgust
415,boredom
416,neutral
417,sadness
418,angry
419,angry
420,angry
421,angry
422,fear
423,neutral
424,angry
425,angry
426,disgust
427,fear
428,boredom
429,neutral
430,angry
431,angry
432,disgust
433,fear
434,fear
435,boredom
436,neutral
437,disgust
438,boredom
439,neutral
440,angry
441,angry
442,boredom
443,neutral
444,sadness
445,angry
446,angry
447,angry
448,boredom
449,neutral
450,sadness
451,angry
452,angry
453,angry
454,fear
455,boredom
456,neutral
457,sadness
458,angry
459,angry
460,boredom
461,neutral
462,neutral
463,angry
464,disgust
465,fear
466,boredom
467,neutral
468,sadness
469,angry
470,disgust
471,disgust
472,boredom
473,neutral
474,sadness
475,angry
476,angry
477,disgust
478,fear
479,boredom
480,boredom
481,neutral
482,sadness
483,angry
484,angry
485,angry
486,disgust
487,fear
488,boredom
489,sadness
490,angry
491,angry
492,disgust
493,fear
494,fear
495,boredom
496,boredom
497,neutral
498,sadness
499,angry
500,angry
501,disgust
502,fear
503,boredom
504,boredom
505,sadness
506,angry
507,angry
508,angry
509,disgust
510,fear
511,boredom
512,angry
513,angry
514,disgust
515,fear
516,fear
517,boredom
518,neutral
519,sadness
520,angry
521,angry
522,disgust
523,fear
524,boredom
525,boredom
526,angry
527,angry
528,disgust
529,fear
530,boredom
531,sadness
532,sadness
533,angry
534,angry
535,boredom
536,boredom
537,boredom
538,boredom
539,boredom
540,boredom
541,boredom
542,boredom
543,boredom
544,boredom
545,boredom
546,boredom
547,boredom
548,boredom
549,boredom
550,boredom
551,boredom
552,boredom
553,boredom
554,boredom
555,boredom
556,boredom
557,boredom
558,boredom
559,boredom
560,boredom
561,boredom
562,boredom
563,boredom
564,boredom
565,boredom
566,boredom
567,boredom
568,boredom
569,boredom
570,boredom
571,boredom
572,boredom
573,boredom
574,boredom
575,boredom
576,boredom
577,boredom
578,boredom
579,boredom
580,boredom
581,boredom
582,boredom
583,boredom
584,boredom
585,boredom
586,boredom
587,boredom
588,boredom
589,boredom
590,boredom
591,boredom
592,boredom
593,boredom
594,boredom
595,boredom
596,boredom
597,boredom
598,boredom
599,boredom
600,boredom
601,boredom
602,boredom
603,boredom
604,boredom
605,boredom
606,boredom
607,boredom
608,boredom
609,boredom
610,boredom
611,boredom
612,boredom
613,boredom
614,boredom
615,boredom
616,boredom
617,boredom
618,boredom
619,boredom
620,boredom
621,boredom
622,boredom
623,boredom
624,boredom
625,boredom
626,boredom
627,boredom
628,boredom
629,boredom
630,boredom
631,boredom
632,boredom
633,boredom
634,boredom
635,boredom
636,boredom
637,boredom
638,boredom
639,boredom
640,boredom
641,boredom
642,boredom
643,boredom
644,boredom
645,boredom
646,boredom
647,boredom
648,boredom
649,boredom
650,disgust
651,disgust
